timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637009082186,386,HTTP Request-2,200,OK,jmeter-getting 1-22,text,true,,103133,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,228,0,137
1637009081549,1795,HTTP Request,200,OK,jmeter-getting 1-23,text,true,,105867,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,200,0,138
1637009081549,200,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-23,text,true,,727,126,4,4,https://www.google.com/classroom,200,0,138
1637009081752,1152,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-23,text,true,,1917,123,4,4,https://classroom.google.com/,1152,0,153
1637009082906,438,HTTP Request-2,200,OK,jmeter-getting 1-23,text,true,,103223,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,267,0,160
1637009082047,1523,HTTP Request,200,OK,jmeter-getting 1-24,text,true,,105841,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,198,0,136
1637009082047,198,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-24,text,true,,727,126,4,4,https://www.google.com/classroom,198,0,136
1637009082247,908,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-24,text,true,,1917,123,4,4,https://classroom.google.com/,908,0,130
1637009083157,413,HTTP Request-2,200,OK,jmeter-getting 1-24,text,true,,103197,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,250,0,153
1637009082549,1733,HTTP Request,200,OK,jmeter-getting 1-25,text,true,,105919,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,188,0,130
1637009082549,188,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-25,text,true,,727,126,4,4,https://www.google.com/classroom,188,0,130
1637009082739,1137,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-25,text,true,,1917,123,4,4,https://classroom.google.com/,1137,0,148
1637009083879,403,HTTP Request-2,200,OK,jmeter-getting 1-25,text,true,,103275,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,243,0,152
1637009083049,1555,HTTP Request,200,OK,jmeter-getting 1-26,text,true,,105893,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,206,0,143
1637009083049,207,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-26,text,true,,727,126,4,4,https://www.google.com/classroom,206,0,143
1637009083257,934,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-26,text,true,,1917,123,4,4,https://classroom.google.com/,934,0,152
1637009084192,412,HTTP Request-2,200,OK,jmeter-getting 1-26,text,true,,103249,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,249,0,150
1637009083548,1753,HTTP Request,200,OK,jmeter-getting 1-27,text,true,,105955,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,201,0,139
1637009083548,201,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-27,text,true,,727,126,4,4,https://www.google.com/classroom,201,0,139
1637009083751,1148,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-27,text,true,,1917,123,4,4,https://classroom.google.com/,1147,0,144
1637009084901,400,HTTP Request-2,200,OK,jmeter-getting 1-27,text,true,,103311,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,242,0,148
1637009084047,1534,HTTP Request,200,OK,jmeter-getting 1-28,text,true,,104862,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,149
1637009084047,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-28,text,true,,727,126,4,4,https://www.google.com/classroom,208,0,149
1637009084257,920,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-28,text,true,,1917,123,4,4,https://classroom.google.com/,920,0,144
1637009085178,403,HTTP Request-2,200,OK,jmeter-getting 1-28,text,true,,102218,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,241,0,153
1637009084549,1732,HTTP Request,200,OK,jmeter-getting 1-29,text,true,,104936,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,197,0,137
1637009084549,197,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-29,text,true,,727,126,4,4,https://www.google.com/classroom,197,0,137
1637009084748,1145,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-29,text,true,,1917,123,4,4,https://classroom.google.com/,1144,0,152
1637009085895,386,HTTP Request-2,200,OK,jmeter-getting 1-29,text,true,,102292,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,232,0,145
1637009085050,1529,HTTP Request,200,OK,jmeter-getting 1-30,text,true,,105921,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,216,0,154
1637009085050,216,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-30,text,true,,727,126,4,4,https://www.google.com/classroom,216,0,154
1637009085268,922,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-30,text,true,,1917,123,4,4,https://classroom.google.com/,921,0,141
1637009086191,388,HTTP Request-2,200,OK,jmeter-getting 1-30,text,true,,103277,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,224,0,128
1637009085550,1286,HTTP Request,200,OK,jmeter-getting 1-31,text,true,,104968,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,189,0,132
1637009085550,189,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-31,text,true,,727,126,3,3,https://www.google.com/classroom,189,0,132
1637009085741,697,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-31,text,true,,1917,123,3,3,https://classroom.google.com/,697,0,147
1637009086440,396,HTTP Request-2,200,OK,jmeter-getting 1-31,text,true,,102324,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,233,0,141
1637009086049,2065,HTTP Request,200,OK,jmeter-getting 1-32,text,true,,104732,501,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,216,0,154
1637009086049,216,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-32,text,true,,727,126,5,5,https://www.google.com/classroom,216,0,154
1637009086266,1473,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-32,text,true,,1917,123,5,5,https://classroom.google.com/,1473,0,149
1637009087741,373,HTTP Request-2,200,OK,jmeter-getting 1-32,text,true,,102088,252,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,224,0,140
1637009086551,1571,HTTP Request,200,OK,jmeter-getting 1-33,text,true,,105791,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,215,0,152
1637009086551,215,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-33,text,true,,727,126,4,4,https://www.google.com/classroom,215,0,152
1637009086768,964,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-33,text,true,,1917,123,4,4,https://classroom.google.com/,964,0,144
1637009087734,388,HTTP Request-2,200,OK,jmeter-getting 1-33,text,true,,103147,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,239,0,141
1637009087047,1528,HTTP Request,200,OK,jmeter-getting 1-34,text,true,,104754,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,145
1637009087047,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-34,text,true,,727,126,4,4,https://www.google.com/classroom,208,0,145
1637009087257,922,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-34,text,true,,1917,123,4,4,https://classroom.google.com/,922,0,144
1637009088180,395,HTTP Request-2,200,OK,jmeter-getting 1-34,text,true,,102110,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,235,0,141
1637009087549,1738,HTTP Request,200,OK,jmeter-getting 1-35,text,true,,105851,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,211,0,149
1637009087549,211,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-35,text,true,,727,126,4,4,https://www.google.com/classroom,211,0,149
1637009087761,1136,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-35,text,true,,1917,123,4,4,https://classroom.google.com/,1136,0,134
1637009088899,388,HTTP Request-2,200,OK,jmeter-getting 1-35,text,true,,103207,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,229,0,139
1637009088045,1535,HTTP Request,200,OK,jmeter-getting 1-36,text,true,,105841,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,195,0,133
1637009088045,195,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-36,text,true,,727,126,4,4,https://www.google.com/classroom,195,0,133
1637009088241,919,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-36,text,true,,1917,123,4,4,https://classroom.google.com/,919,0,141
1637009089162,418,HTTP Request-2,200,OK,jmeter-getting 1-36,text,true,,103197,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,237,0,139
1637009088546,1697,HTTP Request,200,OK,jmeter-getting 1-37,text,true,,104768,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,210,0,148
